trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
205,False,"{'a': 0.2, 'e': 0.01690746565270528}",20,0,27.425436794228784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.2, 'e': 0.016572675401761255}",30,14,24.4062826051794,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.2, 'e': 0.01624451444194987}",25,5,31.96925157775232,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.2, 'e': 0.015922851504511698}",35,19,28.693910774783056,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.2, 'e': 0.01560755791998283}",20,8,21.3385339084816,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.2, 'e': 0.015298507566725518}",20,10,17.58626660204458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.2, 'e': 0.014995576820477703}",25,0,35.22563563133395,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
212,False,"{'a': 0.2, 'e': 0.014698644504901784}",20,7,20.796327395757718,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.2, 'e': 0.01440759184311235}",20,14,14.030720755304309,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.2, 'e': 0.014122302410163962}",20,0,31.273437519950413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.2, 'e': 0.013842662086479501}",20,0,29.847265840140803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.2, 'e': 0.013568559012200934}",20,3,26.068592107607437,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.2, 'e': 0.013299883542443767}",20,11,13.992341450672034,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.2, 'e': 0.013036528203437736}",20,5,-2.7522839955821197,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
219,False,"{'a': 0.2, 'e': 0.01277838764953576}",20,4,25.536223480511893,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.2, 'e': 0.012525358621074385}",20,12,12.618479659721194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.2, 'e': 0.012277339903068436}",25,20,9.433756531418814,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.2, 'e': 0.012034232284723775}",25,20,7.72639044297255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
